Company/Brand,Sector,Amount,HeadQuarter,Funding Year,Founded,Investor
Happy Cow Dairy,"Agriculture, Farming",584000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
MyLoanCare,"Credit, Financial Services, Lending, Marketplace",949000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Tripshelf,"Internet, Leisure, Marketplace",233600.0,"Kalkaji, Delhi, India",2018,2020.0,unknown
Hyperdata.IO,Market Research,730000.0,"Hyderabad, Andhra Pradesh, India",2018,2020.0,unknown
Pitstop,"Automotive, Search Engine, Service Industry",1460000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Antariksh Waste Ventures Pvt ltd,"Internet of Things, Waste Management",7300.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Sleepy Owl Coffee,Food and Beverage,511000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
BlueJack,Autonomous Vehicles,934400.0,"Delhi, Delhi, India",2018,2020.0,unknown
Chariot Tech,"Internet of Things, Telecommunications",292000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Kriger Campus,Education,438000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
UClean,"Clean Energy, CleanTech, Laundry and Dry-cleaning",584000.0,"India, Asia",2018,2020.0,unknown
Tolet for Students,Hospitality,73000.0,"Jodhpur, Rajasthan, India",2018,2020.0,unknown
Chai Kings,"Food and Beverage, Tea",292000.0,"Chennai, Tamil Nadu, India",2018,2020.0,unknown
Dainik Jagran,"Media and Entertainment, News, Outdoors",584000.0,"Kanpur, Uttar Pradesh, India",2018,2020.0,unknown
Playtoome,"Broadcasting, Media and Entertainment, Music, Music Streaming, Video, Video Streaming",292000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Notesgen,"EdTech, Education, Enterprise Software, Peer to Peer",182500.0,"New Delhi, Delhi, India",2018,2020.0,unknown
Arogya MedTech,"Health Care, Medical",219000.0,"Kolkata, West Bengal, India",2018,2020.0,unknown
MissMalini Entertainment,Undisclosed,1518400.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
Rooter,Sports,657000.0,"India, Asia",2018,2020.0,unknown
Sensibull,Trading Platform,365000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
MedCords,Wellness,385440.0,"Pune, Maharashtra, India",2018,2020.0,unknown
Enakshi,Fashion,116800.0,"Ahmedabad, Gujarat, India",2018,2020.0,unknown
Ultraviolette Automotive,"Automotive, Electric Vehicle, Energy Storage",876.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Carmesi,Health Care,496400.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
Racetrack,"Artificial Intelligence, Cloud Computing, Video",4993200.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
FabAlley,"E-Commerce, Fashion, Lifestyle",8760000.0,"Noida, Uttar Pradesh, India",2018,2020.0,unknown
Studds Accessories,E-Commerce,14600000.0,"Faridabad, Haryana, India",2018,2020.0,unknown
Design Cafe,"Home Decor, Home Improvement, Home Renovation, Home Services, Interior Design, Smart Home",29200000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Rays Power Infra,"Energy, Solar",29200000.0,"Jaipur, Rajasthan, India",2018,2020.0,unknown
LetsTransport,"Logistics, Transportation, Travel",14600000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Next Digital Solutions,"Digital Marketing, SEM, SEO, Web Development",1460.0,"Kota, Rajasthan, India",2018,2020.0,unknown
Portea Medical,"Health Care, Hospital, Medical",3650000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Aavas Financiers,"Finance, Financial Services",29200000.0,"Jaipur, Rajasthan, India",2018,2020.0,unknown
Jagaran Microfin,Undisclosed,8030000.0,"Kolkata, West Bengal, India",2018,2020.0,unknown
Be U Salons,"Apps, Beauty, Consumer, Retail",438000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
MobiKwik,"Consumer Lending, Financial Services, FinTech, Insurance, Lending, Mobile Payments, Payments, Wealth Management",3504000.0,"Gurgaon, Haryana, India",2018,2020.0,unknown
DataTrained,"EdTech, Education",1752000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
APAC Financial Services,"Finance, Financial Services",36500000.0,"Mumbai, Maharashtra, India",2018,2020.0,unknown
FeedMyPockets,"Advertising, Human Resources, Marketing",642400.0,"Bangalore City, Karnataka, India",2018,2020.0,unknown
FoodBuddy,"Food Delivery, Online Portals, Restaurants",876000.0,"Belgaum, Karnataka, India",2018,2020.0,unknown
Ninjacart,"AgTech, B2B, Supply Chain Management",36500000.0,"Bengaluru, Karnataka, India",2018,2020.0,unknown
Wakefit,"Manufacturing, Retail",9490000.0,"Bangalore, Karnataka, India",2018,2020.0,unknown
Hero Electric,Manufacturing,23360000.0,"New Delhi, Delhi, India",2018,2020.0,unknown
